,Covid Cases by Country,Kickstarter Budgets,IKEA SA Prices,NEO Miss Distance,Youtube Top 100 Channels Video Counts,Population by Country,Swedish Budget,GDP by Country,Energy Consumption by Country
avg_rel_err,0.248977008674221,0.235395483249833,0.156981787919198,0.836993286054549,0.44988307690401,0.17262052850883,0.125541106733201,0.189873969617062,0.258357712416924
stdev,0.210616554744979,0.193261859765596,0.187985580861842,0.789587024502452,0.378202929921712,0.218510130784322,0.0881223973588093,0.258827725169852,0.342867956486234
